Storage Results,,,,,,,,,,,,,,,,,,,,,,
Context Model,Query Table,QueryJob Table,,,,,,,,,,,,,,,,,,,,
Testcase 10,,,,,,,,,,,,,,,,,,,,,,
Testcase 4,,,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1533,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1533,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1531,113,,,,,,,,,,,,,,,,,,,,
1043,1533,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1533,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1534,113,,,,,,,,,,,,,,,,,,,,
1043,1533,113,,,,,,,,,,,,,,,,,,,,
1043,1533,113,,,,,,,,,,,,,,,,,,,,
1043,1533,113,,,,,,,,,,,,,,,,,,,,
Testcase 6,,,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1520,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1517,113,,,,,,,,,,,,,,,,,,,,
1043,1517,113,,,,,,,,,,,,,,,,,,,,
1043,1517,113,,,,,,,,,,,,,,,,,,,,
1043,1516,113,,,,,,,,,,,,,,,,,,,,
1043,1517,113,,,,,,,,,,,,,,,,,,,,
1043,1517,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1518,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1520,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1520,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1519,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
1043,1521,113,,,,,,,,,,,,,,,,,,,,
Testcase 3,,,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1525,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1525,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1525,113,,,,,,,,,,,,,,,,,,,,
1043,1525,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1525,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1525,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1524,113,,,,,,,,,,,,,,,,,,,,
1043,1524,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1522,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
1043,1526,113,,,,,,,,,,,,,,,,,,,,
